;Japan;USA;China;Netherlands;;
1990;3132817;5963125;398623;321376;;
1991;3584420;6158125;415604;331068;;
1992;3908808;6520325;495671;365971;;
1993;4454144;6858550;623054;355901;;
1994;4907039;7287250;566471;382517;;
1995;5449118;7639750;736870;452710;;
1996;4833714;8073125;867224;450625;;
1997;4414734;8577550;965338;417329;;
1998;4032511;9062825;1032573;438610;;
1999;4562079;9630700;1097138;447493;;
2000;4887520;10252350;1214915;417664;;
2001;4303542;10581825;1344077;431590;;
2002;4115116;10936450;1477501;473527;;
2003;4445659;11458250;1671065;579925;;
2004;4815169;12213725;1966244;658081;;
2005;4755411;13036625;2308800;685727;;
2006;4530377;13814600;2774293;733994;;
2007;4515263;14451875;3571451;848659;;
2008;5037909;14712825;4604285;951766;;
2009;5231383;14448925;5121681;870572;;
2010;5700099;14992050;6066351;848073;;
2011;6157458;15542600;7522103;905111;;
2012;6203212;16197050;8570348;839455;;
2013;5155716;16784825;9635025;877186;;
2014;4850414;17527275;10534526;892398;;
2015;4389476;18224775;11226186;765650;;
2016;4926668;18715050;11221836;783844;;
2017;4859788;19519400;12062285;833575;;
2018;4971767;20580250;13368073;914519;;
